DATE,SYMBOL,SERIES,LAST_PRICE,LOWER_BAND,UPPER_BAND,BAND_PCT,BAND_LABEL,ASM_CODE,ASM_TYPE,ASM_STAGE,ASM_LABEL
2026-05-17,RUSTOMJEE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RVHL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RVTH,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAAKSHI,SM,0,0,0,20,20%,21,LTASM,I,LTASM-I
2026-05-17,SADHAV,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SAFARI,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAFEENTP,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SAGARDEEP,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAGCEM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAGILITY,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAHAJSOLAR,SM,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,SAHANA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SAHASRA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SAHLIBHFI,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAHYADRI,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAILIFE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAIPARENT,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAJHOTELS,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SAKAR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAKHTISUG,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAKSOFT,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SALASAR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SALONA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SALZERELEC,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAMBHV,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAMHI,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAMPANN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANDESH,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANDHAR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANDUMA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANGAMIND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANGHVIMOV,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANOFI,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANOFICONR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANSERA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SANSTAR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAPPHIRE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAPPL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SARDAEN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAREGAMA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SARLAPOLY,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SARTELE,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SASKEN,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,SATIA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SATIN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SATTVAENGG,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SAURASHCEM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SAVY,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SAWALIYA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SAYAJIHOTL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBC,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBCL,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,SBFC,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBIBPB,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBIETFCON,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBIETFIT,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBIETFPB,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBIETFQLTY,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBIMIDMOM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBINEQWETF,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBINMID150,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SBISILVER,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SCANSTL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SCHAEFFLER,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SCHAND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SCI,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SCILAL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SCML,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SCODATUBES,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SDBL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SDREAMS,SM,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,SEAMECLTD,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SEDEMAC,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SEIL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SEITINVIT,IV,0,0,0,20,20%,0,NONE,,
2026-05-17,SELECTIPO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SELLOWRAP,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SENCO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SENORES,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SENSEXADD,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SENSEXBETA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SENSEXETF,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SENSEXIETF,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SEPC,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SERVOTECH,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SESHAPAPER,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SETFGOLD,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SETFNIF50,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SETFNIFBK,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SETFNN50,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SETL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SFL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SFML,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SGFIN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SGIL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SGMART,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHADOWFAX,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHAH,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHAHALLOYS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHAILY,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
